CRName  Row  Col  Date  Type  
CS 120G   1   0   0.01   H   
CS 121G   1   0   0.01   H   
CS 129   1   0   0.01   H   
CS 150   1   0   0.01   H   
CS 170   1   0   0.01   H   
CS 229   1   0   0.01   H   
CS 250   1   0   0.01   H   
CS 252   1   0   0.01   H   
CS 270   1   0   0.01   H   
CS 300T   1   0   0.01   H   
CS 312   1   0   0.01   H   
CS 330   1   0   0.01   H   
CS 334   1   0   0.01   H   
CS 350   1   0   0.01   H   
CS 355   1   0   0.01   H   
CS 361   1   0   0.01   H   
CS 367   1   0   0.01   H   
CS 368   1   0   0.01   H   
CS 381   1   0   0.01   H   
CS 382   1   0   0.01   H   
CS 390   1   0   0.01   H   
CS 395   1   0   0.01   H   
CS 402   1   0   0.01   H   
CS 410   1   0   0.01   H   
CS 411W   1   0   0.01   H   
CS 417   1   0   0.01   H   
CS 418   1   0   0.01   H   
CS 432   1   0   0.01   H   
CS 450   1   0   0.01   H   
CS 455   1   0   0.01   H   
CS 460   1   0   0.01   H   
CS 462   1   0   0.01   H   
CS 463   1   0   0.01   H   
CS 467   1   0   0.01   H   
CS 469   1   0   0.01   H   
CS 471   1   0   0.01   H   
CS 480   1   0   0.01   H   
CS 497   1   0   0.01   H   
CS 500   1   0   0.01   H   
CS 502   1   0   0.01   H   
CS 517   1   0   0.01   H   
CS 518   1   0   0.01   H   
CS 532   1   0   0.01   H   
CS 550   1   0   0.01   H   
CS 555   1   0   0.01   H   
CS 562   1   0   0.01   H   
CS 563   1   0   0.01   H   
CS 567   1   0   0.01   H   
CS 569   1   0   0.01   H   
CS 580   1   0   0.01   H   
CS 597   1   0   0.01   H   
CS 620   1   0   0.01   H   
CS 625   1   0   0.01   H   
CS 665   1   0   0.01   H   
CS 667   1   0   0.01   H   
CS 690   1   0   0.01   H   
CS 697   1   0   0.01   H   
CS 698   1   0   0.01   H   
CS 699   1   0   0.01   H   
CS 722   1   0   0.01   H   
CS 723   1   0   0.01   H   
CS 776   1   0   0.01   H   
CS 791   1   0   0.01   H   
CS 795   1   0   0.01   H   
CS 796   1   0   0.01   H   
CS 822   1   0   0.01   H   
CS 823   1   0   0.01   H   
CS 876   1   0   0.01   H   
CS 891   1   0   0.01   H   
CS 895   1   0   0.01   H   
CS 896   1   0   0.01   H   
CS 899   1   0   0.01   H   
CS 999   1   0   0.01   H   
CS 120G   2   0   0.18   H   
CS 121G   2   0   0.18   H   
CS 129   2   0   0.18   H   
CS 150   2   0   0.18   H   
CS 170   2   0   0.18   H   
CS 229   2   0   0.18   H   
CS 250   2   0   0.18   H   
CS 252   2   0   0.18   H   
CS 270   2   0   0.18   H   
CS 300T   2   0   0.18   H   
CS 312   2   0   0.18   H   
CS 330   2   0   0.18   H   
CS 334   2   0   0.18   H   
CS 350   2   0   0.18   H   
CS 355   2   0   0.18   H   
CS 361   2   0   0.18   H   
CS 367   2   0   0.18   H   
CS 368   2   0   0.18   H   
CS 381   2   0   0.18   H   
CS 382   2   0   0.18   H   
CS 390   2   0   0.18   H   
CS 395   2   0   0.18   H   
CS 402   2   0   0.18   H   
CS 410   2   0   0.18   H   
CS 411W   2   0   0.18   H   
CS 417   2   0   0.18   H   
CS 418   2   0   0.18   H   
CS 432   2   0   0.18   H   
CS 450   2   0   0.18   H   
CS 455   2   0   0.18   H   
CS 460   2   0   0.18   H   
CS 462   2   0   0.18   H   
CS 463   2   0   0.18   H   
CS 464   2   0   0.18   H   
CS 467   2   0   0.18   H   
CS 471   2   0   0.18   H   
CS 480   2   0   0.18   H   
CS 497   2   0   0.18   H   
CS 500   2   0   0.18   H   
CS 502   2   0   0.18   H   
CS 517   2   0   0.18   H   
CS 518   2   0   0.18   H   
CS 532   2   0   0.18   H   
CS 550   2   0   0.18   H   
CS 555   2   0   0.18   H   
CS 562   2   0   0.18   H   
CS 563   2   0   0.18   H   
CS 564   2   0   0.18   H   
CS 567   2   0   0.18   H   
CS 569   2   0   0.18   H   
CS 580   2   0   0.18   H   
CS 597   2   0   0.18   H   
CS 620   2   0   0.18   H   
CS 625   2   0   0.18   H   
CS 665   2   0   0.18   H   
CS 667   2   0   0.18   H   
CS 690   2   0   0.18   H   
CS 697   2   0   0.18   H   
CS 698   2   0   0.18   H   
CS 699   2   0   0.18   H   
CS 722   2   0   0.18   H   
CS 723   2   0   0.18   H   
CS 776   2   0   0.18   H   
CS 791   2   0   0.18   H   
CS 795   2   0   0.18   H   
CS 796   2   0   0.18   H   
CS 822   2   0   0.18   H   
CS 823   2   0   0.18   H   
CS 876   2   0   0.18   H   
CS 891   2   0   0.18   H   
CS 895   2   0   0.18   H   
CS 896   2   0   0.18   H   
CS 899   2   0   0.18   H   
CS 999   2   0   0.18   H   
CS 120G   3   0   0.21   H   
CS 121G   3   0   0.21   H   
CS 129   3   0   0.21   H   
CS 150   3   0   0.21   H   
CS 170   3   0   0.21   H   
CS 229   3   0   0.21   H   
CS 250   3   0   0.21   H   
CS 252   3   0   0.21   H   
CS 270   3   0   0.21   H   
CS 300T   3   0   0.21   H   
CS 312   3   0   0.21   H   
CS 330   3   0   0.21   H   
CS 334   3   0   0.21   H   
CS 350   3   0   0.21   H   
CS 355   3   0   0.21   H   
CS 361   3   0   0.21   H   
CS 367   3   0   0.21   H   
CS 368   3   0   0.21   H   
CS 381   3   0   0.21   H   
CS 382   3   0   0.21   H   
CS 390   3   0   0.21   H   
CS 395   3   0   0.21   H   
CS 402   3   0   0.21   H   
CS 410   3   0   0.21   H   
CS 411W   3   0   0.21   H   
CS 417   3   0   0.21   H   
CS 418   3   0   0.21   H   
CS 432   3   0   0.21   H   
CS 450   3   0   0.21   H   
CS 455   3   0   0.21   H   
CS 460   3   0   0.21   H   
CS 462   3   0   0.21   H   
CS 463   3   0   0.21   H   
CS 464   3   0   0.21   H   
CS 467   3   0   0.21   H   
CS 471   3   0   0.21   H   
CS 480   3   0   0.21   H   
CS 497   3   0   0.21   H   
CS 500   3   0   0.21   H   
CS 502   3   0   0.21   H   
CS 517   3   0   0.21   H   
CS 518   3   0   0.21   H   
CS 532   3   0   0.21   H   
CS 550   3   0   0.21   H   
CS 555   3   0   0.21   H   
CS 562   3   0   0.21   H   
CS 563   3   0   0.21   H   
CS 564   3   0   0.21   H   
CS 567   3   0   0.21   H   
CS 569   3   0   0.21   H   
CS 580   3   0   0.21   H   
CS 597   3   0   0.21   H   
CS 620   3   0   0.21   H   
CS 625   3   0   0.21   H   
CS 665   3   0   0.21   H   
CS 667   3   0   0.21   H   
CS 690   3   0   0.21   H   
CS 697   3   0   0.21   H   
CS 698   3   0   0.21   H   
CS 699   3   0   0.21   H   
CS 722   3   0   0.21   H   
CS 723   3   0   0.21   H   
CS 776   3   0   0.21   H   
CS 791   3   0   0.21   H   
CS 795   3   0   0.21   H   
CS 796   3   0   0.21   H   
CS 822   3   0   0.21   H   
CS 823   3   0   0.21   H   
CS 876   3   0   0.21   H   
CS 891   3   0   0.21   H   
CS 895   3   0   0.21   H   
CS 896   3   0   0.21   H   
CS 899   3   0   0.21   H   
CS 999   3   0   0.21   H   
CS 120G   4   0   0.22   H   
CS 121G   4   0   0.22   H   
CS 129   4   0   0.22   H   
CS 150   4   0   0.22   H   
CS 170   4   0   0.22   H   
CS 229   4   0   0.22   H   
CS 250   4   0   0.22   H   
CS 252   4   0   0.22   H   
CS 270   4   0   0.22   H   
CS 300T   4   0   0.22   H   
CS 312   4   0   0.22   H   
CS 330   4   0   0.22   H   
CS 334   4   0   0.22   H   
CS 350   4   0   0.22   H   
CS 355   4   0   0.22   H   
CS 361   4   0   0.22   H   
CS 367   4   0   0.22   H   
CS 368   4   0   0.22   H   
CS 381   4   0   0.22   H   
CS 382   4   0   0.22   H   
CS 390   4   0   0.22   H   
CS 395   4   0   0.22   H   
CS 402   4   0   0.22   H   
CS 410   4   0   0.22   H   
CS 411W   4   0   0.22   H   
CS 417   4   0   0.22   H   
CS 418   4   0   0.22   H   
CS 432   4   0   0.22   H   
CS 450   4   0   0.22   H   
CS 455   4   0   0.22   H   
CS 460   4   0   0.22   H   
CS 462   4   0   0.22   H   
CS 463   4   0   0.22   H   
CS 464   4   0   0.22   H   
CS 467   4   0   0.22   H   
CS 471   4   0   0.22   H   
CS 480   4   0   0.22   H   
CS 497   4   0   0.22   H   
CS 500   4   0   0.22   H   
CS 502   4   0   0.22   H   
CS 517   4   0   0.22   H   
CS 518   4   0   0.22   H   
CS 532   4   0   0.22   H   
CS 550   4   0   0.22   H   
CS 555   4   0   0.22   H   
CS 562   4   0   0.22   H   
CS 563   4   0   0.22   H   
CS 564   4   0   0.22   H   
CS 567   4   0   0.22   H   
CS 580   4   0   0.22   H   
CS 597   4   0   0.22   H   
CS 620   4   0   0.22   H   
CS 625   4   0   0.22   H   
CS 665   4   0   0.22   H   
CS 667   4   0   0.22   H   
CS 690   4   0   0.22   H   
CS 697   4   0   0.22   H   
CS 698   4   0   0.22   H   
CS 699   4   0   0.22   H   
CS 722   4   0   0.22   H   
CS 723   4   0   0.22   H   
CS 776   4   0   0.22   H   
CS 791   4   0   0.22   H   
CS 795   4   0   0.22   H   
CS 796   4   0   0.22   H   
CS 822   4   0   0.22   H   
CS 823   4   0   0.22   H   
CS 876   4   0   0.22   H   
CS 891   4   0   0.22   H   
CS 895   4   0   0.22   H   
CS 896   4   0   0.22   H   
CS 899   4   0   0.22   H   
CS 999   4   0   0.22   H   
CS 120G   5   0   0.27   H   
CS 121G   5   0   0.27   H   
CS 129   5   0   0.27   H   
CS 150   5   0   0.27   H   
CS 170   5   0   0.27   H   
CS 229   5   0   0.27   H   
CS 250   5   0   0.27   H   
CS 252   5   0   0.27   H   
CS 270   5   0   0.27   H   
CS 300T   5   0   0.27   H   
CS 312   5   0   0.27   H   
CS 330   5   0   0.27   H   
CS 334   5   0   0.27   H   
CS 350   5   0   0.27   H   
CS 355   5   0   0.27   H   
CS 361   5   0   0.27   H   
CS 367   5   0   0.27   H   
CS 368   5   0   0.27   H   
CS 381   5   0   0.27   H   
CS 382   5   0   0.27   H   
CS 390   5   0   0.27   H   
CS 395   5   0   0.27   H   
CS 402   5   0   0.27   H   
CS 410   5   0   0.27   H   
CS 411W   5   0   0.27   H   
CS 417   5   0   0.27   H   
CS 418   5   0   0.27   H   
CS 432   5   0   0.27   H   
CS 450   5   0   0.27   H   
CS 455   5   0   0.27   H   
CS 460   5   0   0.27   H   
CS 462   5   0   0.27   H   
CS 463   5   0   0.27   H   
CS 464   5   0   0.27   H   
CS 467   5   0   0.27   H   
CS 471   5   0   0.27   H   
